,AG,China,Denmark,Germany,Israel,SW,Spain,Sweden,UK,US
AG,nan,0.2857142857142857,0.2727272727272727,0.047619047619047616,0.09090909090909091,0.14285714285714285,0.14285714285714285,0.25,0.07142857142857142,0.15384615384615385
China,0.2857142857142857,nan,0.2,0.05263157894736842,0.1111111111111111,0.07692307692307693,0.07692307692307693,0.625,0.08333333333333333,0.08333333333333333
Denmark,0.2727272727272727,0.2,nan,0.14285714285714285,0.2,0.25,0.25,0.2857142857142857,0.125,0.2857142857142857
Germany,0.047619047619047616,0.05263157894736842,0.14285714285714285,nan,0.16666666666666666,0.058823529411764705,0.058823529411764705,0.0625,0.13333333333333333,0.0625
Israel,0.09090909090909091,0.1111111111111111,0.2,0.16666666666666666,nan,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.4,0.16666666666666666
SW,0.14285714285714285,0.07692307692307693,0.25,0.058823529411764705,0.14285714285714285,nan,0.2,0.1,0.1,0.2222222222222222
Spain,0.14285714285714285,0.07692307692307693,0.25,0.058823529411764705,0.14285714285714285,0.2,nan,0.1,0.1,0.2222222222222222
Sweden,0.25,0.625,0.2857142857142857,0.0625,0.16666666666666666,0.1,0.1,nan,0.1111111111111111,0.1111111111111111
UK,0.07142857142857142,0.08333333333333333,0.125,0.13333333333333333,0.4,0.1,0.1,0.1111111111111111,nan,0.1111111111111111
US,0.15384615384615385,0.08333333333333333,0.2857142857142857,0.0625,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,nan
